m,Initialization,Scaling,TaylorEx,BasisComputation,Bitreverse,Span,Aggregate
5,8.28e-05,0.00306002,0.000385921,0.020627,0.000176577,0.000278408,0.00143349
6,0.000108032,0.00690346,0.00101742,0.0248378,0.000335775,0.000454312,0.00333489
7,0.00016996,0.0154145,0.00284291,0.029138,0.000816619,0.000762435,0.00764541
8,0.000443817,0.0337935,0.00615715,0.0334558,0.00150323,0.00174203,0.0167307
9,0.000755803,0.0741203,0.0150252,0.037883,0.00325241,0.00262633,0.0370625
10,0.00144773,0.160379,0.0365398,0.0421991,0.00692419,0.00399843,0.0816335
11,0.00258877,0.346405,0.0855693,0.0466377,0.0146779,0.00726237,0.176049
12,0.0207767,0.744693,0.209248,0.0512784,0.032388,0.0160309,0.382068
13,0.03875,1.58896,0.509786,0.0556879,0.068549,0.0383649,0.826149
14,0.0721477,3.38378,1.3058,0.0603469,0.158631,0.0803302,1.7794
15,0.132682,7.17147,3.06915,0.0648864,0.345184,0.148285,3.80421
16,0.259792,15.1539,6.97886,0.0695799,0.723616,0.297923,8.09956
17,0.587972,31.9907,16.0343,0.0745426,1.52749,0.629698,17.2822
18,1.72292,67.5045,46.7487,0.0837399,4.63521,1.27155,37.532
19,3.53944,142.138,180.156,0.0936633,18.7994,2.49774,81.836
20,11.2065,297.307,486.21,0.0989341,46.097,4.58092,176.68
